	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Sep 25 22:28:45 2025

	Network distribution mode enabled.
	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -+m /shared/machines.txt -f /shared/testfile -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"4096"   437779  148833  64875  87483  44137  27231  14312  4868  4282  993  446 
"8192"   452916  324447  209412  118360  64189  31540  14638  7979  3844  1596  683  302 
"16384"   406837  353468  224517  150280  70832  36876  13165  11531  6123  2432  513  359  171 
"32768"   0  0  0  0  44187  32968  18408  8065  5785  2094  691  338  168 
"65536"   0  0  0  0  71096  35639  17743  11772  5091  2254  866  416  171 
"131072"   0  0  0  0  77732  45808  23594  12066  5484  2776  1013  471  202 
"262144"   0  0  0  0  84427  46173  25192  11328  6099  3353  1104  468  239 
"524288"   0  0  0  0  76162  41017  26159  14018  7248  3415  1064  480  217 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   181962  103625  68813  26989  6756 
"128"   179963  143148  22922  33367  6554  8545 
"256"   185408  136844  67800  11836  11238  4106  3144 
"512"   78664  42388  68241  51471  14207  9899  5916  1170 
"1024"   293949  190460  101113  52887  8565  3720  4843  2590  1386 
"2048"   79196  170440  93779  16260  17768  3140  5834  3157  1531  810 
"4096"   269060  57944  32368  45134  22965  12529  6899  2822  1620  308  143 
"8192"   266844  164553  39683  51353  26484  13256  6015  3370  1715  795  321  217 
"16384"   268009  172857  92854  53640  23559  11934  6630  3313  1567  719  421  229  111 
"32768"   0  0  0  0  21764  13825  5325  3142  1653  879  439  218  91 
"65536"   0  0  0  0  25252  12475  5909  3300  1725  805  430  218  108 
"131072"   0  0  0  0  27898  14017  7120  3714  1991  956  464  237  96 
"262144"   0  0  0  0  17126  11127  5332  2832  1362  688  429  215  89 
"524288"   0  0  0  0  12803  5637  2456  1285  728  310  154  133  60 

"Backward read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   213175  122997  63596  36344  6946 
"128"   227177  52436  92998  39216  30749  7039 
"256"   262193  227177  125015  56317  28590  8509  6454 
"512"   298459  94393  160777  87861  31394  12702  10257  3519 
"1024"   423098  223807  96949  51865  36200  10013  10363  3657  2891 
"2048"   437564  243324  140475  98769  35946  10088  10679  5134  1609  1013 
"4096"   381815  270470  66511  81223  54286  26578  10854  4361  4232  1419  356 
"8192"   408290  172185  174623  39949  25381  18238  13450  2832  3448  1774  712  286 
"16384"   446139  189419  184834  117917  71152  28674  15477  9337  4820  1326  619  351  185 
"32768"   0  0  0  0  55938  34408  17130  7305  4562  2047  736  343  200 
"65536"   0  0  0  0  61645  39421  17291  11555  4578  1640  678  388  207 
"131072"   0  0  0  0  89962  46047  22275  7119  5219  2509  814  400  173 
"262144"   0  0  0  0  80057  44558  29677  12791  6413  3128  972  436  236 
"524288"   0  0  0  0  84037  35776  27274  13212  6684  3105  943  445  242 

"Record rewrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   163359  95377  71451  22203  9991 
"128"   390388  54041  76120  33906  11247  11624 
"256"   328238  75666  49063  77707  35710  5306  5715 
"512"   298459  98479  180690  100642  13514  13109  8098  1091 
"1024"   467086  95294  58130  104873  21421  5641  5722  3240  1424 
"2048"   536092  92853  195452  87930  25762  7733  10555  4914  2109  812 
"4096"   395200  368110  162964  79105  62736  18348  10126  5095  2546  769  143 
"8192"   506547  322111  181439  34492  13687  14375  7155  5579  1241  1072  312  218 
"16384"   514247  294500  163159  108317  52751  23071  12710  6581  2929  1371  503  184  84 
